0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Ces1h	Rsf1os1	Sprr2g	Cilp	Cnfn	H2-Aa	Sh2d7	Sprr2a2	H2-Aa	Reg3g	Ccpg1os	H1f5	S100a10	Muc16	Cd63
Muc16	Meig1	Krtap17-1	Clec4d	Il36g	H2-Eb1	Snorc	Ces1h	H2-Eb1	Igkv8-27	1700016K19Rik	Cenpw	Ptn	Msln	Inhbb
Lypd2	1700016K19Rik	Avpr1a	Dmp1	Fst	Lamp3	Rgs2	Rbp4	Lamp3	Muc16	Rsph4a	S100a10	Kcnq1ot1	Tmprss11b	Sftpd
Sprr2a2	Wdr54	Gpx4	Camp	S100a6	Cenpw	Atp1a2	Muc16	H2-Ab1	Ighv2-7	Pifo	Muc16	Tpm2	Sult1b1	Klk14
Ltf	Ccpg1os	Cldn3	3830403N18Rik	Sprr2h	E2f8	Ly6g6f	Synpo	Inhbb	Iglv1	Cfap126	Msln	Krt15	Tmprss11d	C1s1
Depp1	Cfap161	Chga	Fga	Crnn	H2-Ab1	Gnat3	Fmo2	Gm19990	Iglc3	D430036J16Rik	Lypd2	Tgfbi	Fmo2	Pigr
Msln	Cetn4	Col4a1	Atp1b2	Pcdh8	Slc34a2	Spib	Lrg1	Snhg11	Igkv3-2	Fam81b	E2f8	Dapl1	Ifi27l2a	Scgb3a1
Pigr	Dthd1	Phldb2	Rarres2	Ccl5	Hc	Sh2d6	Samd5	Ly6c1	Gm15848	Saxo2	Rad51ap1	Hlf	Cwh43	Kng2
Sprr1a	Hspb11	Shh	S100a8	Calcb	Cdca3	Ltc4s	Kcne3	Gpd1	Iglv2	Dnah12	Kcne3	Synpo	Anxa10	Cyp1b1
Med24	Cetn2	Dpp4	Tagln	Sprr2d	Ptgs1	Prox1	AU021092	Akr1b8	Reg1	1700013F07Rik	Ces1h	Areg	Areg	Iigp1
Tpm2	Ybx2	Crip2	Mfap2	U90926	Cd74	Rgs13	Kcnq1ot1	Hc	Irf4	Rgs22	Pbk	Clca3a2	A2ml1	Rbp4
Samd5	Dnajc15	Cox6a2	Twist1	Krt75	Tinag	Samd5	Itln1	Pla2g1b	Spink1	Cfap69	Cdk1	Krt17	Serpinb11	Prss35
Tmprss11d	Irak1bp1	S100a10	Gm16587	Msln	Inhbb	Pik3r5	Dmbt1	Tinag	Iglc1	Cep126	Cep55	Trp63	Sprr2a2	Ly6k
Anxa10	Med31	Ankrd1	Dspp	Crabp2	Rbpjl	Gm8113	Reg3g	Stbd1	Igkv4-57	ENSMUSG00000120266	Sprr2a2	Col17a1	Ces1h	Tacr1
Gm15848	Lrrc34	Nectin3	Foxf1	Sprr2g	Pla2g1b	Wfdc17	Msln	Ager	Retreg1	Ccdc65	Cdca3	Ccdc3	Akr1c18	Kbtbd11
Synpo	Retreg1	Slco2a1	Gng11	Krt15	Sfta2	Inpp5d	Cldn10	Ptgs1	Ppp1r32	Tm4sf1	Arhgap11a	Rflnb	Krt15	Ndrg1
Inhbb	Ccdc39	Cgnl1	Gm33302	Ifi209	Cep55	1810046K07Rik	Depp1	Dpp4	Ttc12	1700001L19Rik	Hmmr	Cmah	Ifi203	Ldhb
Atf3	Plk5	Akr1b8	Kcne4	Prxl2a	Egfl6	Nrgn	Blvrb	Slc34a2	Ighm	Mlf1	Smc4	Abi3bp	Sptssb	Slc16a12
Kctd14	Acbd7	Arfgef3	Aspn	Tigit	Slc26a4	Irag2	Pigr	Gpx4	Elmod1	Cfap44	Cdc20	Cdo1	Mndal	St8sia6
Kcnq1ot1	1110032A03Rik	Serpinb6b	Inhbb	Nupr1	H2-DMb1	Vav1	Gm15848	Cd74	Hoatz	Fsd1l	Rrm2	Sparcl1	Slc7a11	AU021092
