0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Sprr2a2	Lrrc36	Retreg1	Plpp3	Msln	ENSMUSG00000120992	Ces1g	Scgb3a1	Sftpc	Hmgb2	Dnai3	Smc4	Nrg1	Sprr2b	Timp3
1700016C15Rik	Ldlrad1	Areg	Frmd5	Clu	Akr1c19	Bmx	Znhit1	Slpi	Reg3g	Sptlc3	Cdca2	Icam1	Sprr2a2	Retnla
Anxa10	Hoatz	Abcc5	Enpep	Timp1	Cd74	Txndc16	Muc5b	Sftpb	Zdhhc3	Car12	ENSMUSG00000120992	Areg	Ifi202b	Slc16a12
Edn2	Ubxn10	Sprr1a	Sparc	Il1rn	Slc26a4	Adgrg6	Gp2	Limch1	H2ac23	Dnah6	Tacc3	B3galt2	Tmprss11d	Muc20
Fn1	Lca5l	Nipal1	Cfh	Ifi202b	Cdc20	Prorp	Tmc5	Sftpd	Smtn	Casc1	Cntln	Kif21a	Lypd2	Egfl6
Rnase4	Drc7	Nr4a2	Lrrc2	Akr1b8	Lrp2	Calm2	Prxl2a	Hacd1	Iah1	Tsnaxip1	Dlgap5	Sulf1	Dhrs9	Col15a1
Tmprss11d	Rp1	Cftr	Dpysl3	Inhba	Lrrk2	Plac8	Acox2	Wfdc21	Gm15728	Armh1	Cdc20	Abi3bp	Mndal	AU021092
Krt18	5031425E22Rik	Sparc	Cald1	Tmprss11d	Dpp4	Tmem45b	Gipc2	Rgcc	Chchd10	Iqca	Lig1	Cdh6	Pitx1	Klk13
Errfi1	Gm15848	Clu	Sparcl1	Adam8	Slc34a2	Abr	Tacr1	Kcnc3	Rnase4	Dnah2	Ube2t	Tgfbi	Ces1h	Serpinb6b
Lgals3	BC051019	Dpp4	Nr4a1	AA986860	S100g	Strbp	Kcnj16	Mmd	Slc16a11	Ccdc146	Top2a	Ifi202b	Bmx	Plpp3
Hmga2	Zmynd12	Fads3	Slc39a14	Prss22	Mcm6	Tnc	Krt23	Gstt1	Tmem212	Lrrc23	Cep295	Tpm2	Cyp4a12b	Aebp1
Tnip3	A2ml1	Cenpf	Serpine2	Fn1	Calm2	Nkd1	Fcgbp	Pygl	Arhgdib	Ak7	Cenpe	Tnc	Fut9	Rbp4
Gm15728	Nemp1	Esco2	Igfbp7	Tnc	Cep295	Sulf1	Steap4	AA986860	Selenop	Lrrc51	Pmf1	Itgb6	Kif21a	Bpifa1
Ltf	Dgcr6	Ly6k	Mylk	Tpm2	Slc51b	Fkbp7	Fgl1	Veph1	Gm13074	Cfap91	Nxt1	Parm1	Kcnj16	Cyp4b1
Cdh6	Dynlt4	Slc16a12	Fhl1	Hmga2	Mrc2	Npnt	Bpifa1	Col4a2	Rsad2	Ak9	Lockd	Fstl1	Il1rn	Edn1
Reg3g	Pih1d2	Map1b	Serping1	Adgrg6	Tnfrsf9	Dclk1	Aldh1a1	Nectin3	Id3	Cfap65	E2f7	Krt17	Ifitm1	Neil2
Wfdc18	Ccdc180	Tnfsf9	Nr4a2	Sprr2f	Napsa	Sass6	Muc5ac	Renbp	Bex4	Deup1	Incenp	Pltp	Bst2	Hopx
Car6	Dnaaf6b	Cox6b2	Fcor	Krt16	Ndnf	Dpy30	1700016C15Rik	Rbpjl	Mt2	Cfap57	Hmga2	Mcm6	Mrpl54	Bex4
Tmem212	Fam216b	Slc7a11	Ccn1	Kctd14	Thbs1	Cdh6	Ces1h	Abcc5	Rgs10	Cfap299	Slf1	Krt14	Anxa10	Lif
Baiap2	Styxl1	Cisd3	Rasl11a	Nln	Sftpd	Lmln	Ttc39a	Tspan11	Dclk1	Morn1	Spef1	Cmah	Fmo2	Gprc5a
